"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"America Evangelical University","1204 W 163rd St, Gardena, California 90247-4432","www.aeu.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Small","No","128","18","100%","NA","Fall 2017","$24,350","-","490081","04227100"
"American Academy McAllister Institute of Funeral Service","1501 Broadway, 11th Floor, Suite 1102, New York, New York 10036","www.funeraleducation.org/","2-year, Private not-for-profit","Associate's degree","City: Large","No","382","382","29%","57%","Fall 2020","$20,049","-","188687","01081300"
"American Academy of Art College","332 S Michigan Ave, Chicago, Illinois 60604-4302","https://www.aaart.edu/","4-year, Private for-profit","Bachelor's degree","City: Large","No","111","111","45%","15%","Fall 2017","$32,872","-","142887","00162800"
"American Academy of Dramatic Arts-Los Angeles","1336 North La Brea Avenue, Los Angeles, California 90028","www.aada.edu/","2-year, Private not-for-profit","Less than one year certificate|Associate's degree","City: Large","Yes","220","220","76%","NA","Fall 2020","$42,794","-","108852","00746501"
"American Academy of Dramatic Arts-New York","120 Madison Ave, New York, New York 10016","www.aada.edu/","2-year, Private not-for-profit","One but less than two years certificate|Associate's degree","City: Large","Yes","209","209","93%","7%","Fall 2020","$49,205","-","188678","00746500"
"American Academy of Health and Wellness","2233 Hamline Ave N, Suite 432, Roseville, Minnesota 55113","https://www.acupunctureschoolusa.com/","4-year, Private for-profit","Master's degree|Doctor's degree - professional practice","Suburb: Large","No","23","","NA","NA","Fall 2017","NA","-","446002","03833300"
"American Baptist College","1800 Baptist World Ctr Dr, Nashville, Tennessee 37207-9980","www.abcnash.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","City: Large","Yes","53","53","33%","NA","Fall 2017","$18,124","-","219505","01046000"
"American Career College-Anaheim","1200 N. Magnolia Ave., Anaheim, California 92801-0000","https://americancareercollege.edu/","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","1465","1465","70%","NA","Fall 2020","$26,056","Licensed Practical/Vocational Nurse Training","441052","02241801"
"American Career College-Los Angeles","4021 Rosewood Avenue, Los Angeles, California 90004","https://americancareercollege.edu/","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","1969","1969","72%","NA","Fall 2020","$26,626","Licensed Practical/Vocational Nurse Training","109040","02241800"
"American Career College-Ontario","3130 East Sedona Court, Ontario, California 91764","https://americancareercollege.edu/","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Midsize","No","1639","1639","62%","1%","Fall 2020","$28,455","Licensed Practical/Vocational Nurse Training","447768","03971300"
"American College of Acupuncture and Oriental Med","9100 Park  West Drive, Houston, Texas 77063-4104","www.acaom.edu/","4-year, Private for-profit","Master's degree|Doctor's degree - professional practice","City: Large","No","87","","NA","NA","Fall 2017","NA","-","429085","03153300"
"American College of Education","101 West Ohio Street, Suite 1200, Indianapolis, Indiana 46204","www.ace.edu/","4-year, Private for-profit","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Large","No","10003","142","NA","NA","Fall 2017","NA","-","449889","04151300"
"American College of Financial Services","630 Allendale Rd #400, King of Prussia, Pennsylvania 19406","https://www.theamericancollege.edu/","4-year, Private not-for-profit","Less than one year certificate|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","No","","","NA","NA","Fall 2017","NA","-","210809",""
"American College of Healthcare and Technology","11801 Pierce St., Suite 100, Riverside, California 92505","www.ach.edu/","2-year, Private for-profit","One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Large","No","280","280","65%","NA","Fall 2020","$14,055","Veterinary Sciences/Veterinary Clinical Sciences, General","422835","03144400"
"American College of Healthcare Sciences","5005 S. Macadam Ave, Portland, Oregon 97239","www.achs.edu/","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","City: Large","No","987","751","NA","NA","Fall 2017","$24,016","-","443599","04194400"
